Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Motherboard,ASUS TUF GAMING B760M-PLUS II Intel LGA1700 Micro-ATX Motherboard,ASUS,"৳ 22,000","৳ 25,300","৳ 3,300",In Stock
Motherboard,ASUS TUF GAMING B860M-PLUS WIFI Intel LGA1851 mATX Gaming Motherboard,ASUS,"৳ 33,500","৳ 35,400","৳ 1,900",In Stock
Motherboard,ASUS ROG STRIX B860-A GAMING WIFI Intel LGA1851 ATX Gaming Motherboard,ASUS,"৳ 39,500","৳ 41,500","৳ 2,000",In Stock
Motherboard,ASUS TUF GAMING B860-PLUS WIFI Intel LGA1851 ATX Gaming Motherboard,ASUS,"৳ 34,500","৳ 35,900","৳ 1,400",In Stock
Motherboard,ASUS ROG STRIX B860-F GAMING WIFI Intel LGA1851 ATX Gaming Motherboard,ASUS,"৳ 43,000","৳ 45,000","৳ 2,000",In Stock
Motherboard,Asus ROG STRIX B850-F GAMING WIFI AMD B850 Socket AM5 DDR5 ATX Motherboard,Asus,"৳ 46,000","৳ 48,500","৳ 2,500",In Stock
Motherboard,ASUS ROG STRIX Z890-E GAMING WIFI LGA1851 Intel Motherboard,ASUS,"৳ 76,000","৳ 80,000","৳ 4,000",In Stock
Motherboard,MSI PRO B860M-A WIFI LGA1851 Micro ATX Motherboard,MSI,"৳ 25,900","৳ 27,800","৳ 1,900",In Stock
Motherboard,MSI B860M GAMING PLUS Wi-Fi 7 DDR5 Intel LGA1851 Micro ATX Motherboard,MSI,"৳ 25,900","৳ 27,500","৳ 1,600",In Stock
Motherboard,MSI B860 GAMING PLUS Wi-Fi 7 DDR5 LGA1851 ATX Motherboard,MSI,"৳ 26,700","৳ 27,500",৳ 800,In Stock
Motherboard,Maxsun iCraft Z890 Arctic Wi-Fi 7 DDR5 ATX Motherboard,Maxsun,"৳ 46,000","৳ 55,000","৳ 9,000",In Stock
Motherboard,MSi B850 GAMING PLUS WIFI AMD B850 DDR5 ATX Motherboard,MSi,"৳ 27,500","৳ 35,000","৳ 7,500",In Stock
Motherboard,GIGABYTE B760M GAMING DDR4 Intel B760 Micro ATX Motherboard,GIGABYTE,"৳ 18,800","৳ 19,500",৳ 700,In Stock
Motherboard,GIGABYTE B760M GAMING Intel B760 DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 19,800","৳ 22,800","৳ 3,000",In Stock
Motherboard,Gigabyte B860M D3HP Intel B860 DDR5 Micro ATX Ultra Durable Motherboard,Gigabyte,"৳ 21,000","৳ 22,000","৳ 1,000",In Stock
