Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Graphics Card,Asus GeForce GT 730 Nvidia 2GB GDDR5 Graphics Card (Timber Green),Asus,"৳ 15,900","৳ 16,200",৳ 300,In Stock
Graphics Card,ASUS Dual GeForce RTX 3050 96-bit 6GB GDDR6 Graphics Card,ASUS,"৳ 32,900","৳ 35,000","৳ 2,100",In Stock
Graphics Card,MSI GeForce RTX 5090 32G VANGUARD SOC 32GB GDDR7 Graphics Card,MSI,"৳ 490,000","৳ 650,000","৳ 160,000",In Stock
Graphics Card,ASUS TUF Gaming GeForce RTX 5090 32GB GDDR7 OC Edition Graphics Card,ASUS,"৳ 500,000","৳ 650,000","৳ 150,000",In Stock
Graphics Card,MSI GeForce RTX 5090 32G GAMING TRIO OC Graphics Card,MSI,"৳ 495,000","৳ 510,000","৳ 15,000",In Stock
Graphics Card,MSI GeForce RTX 5090 32G SUPRIM SOC GDDR7 Graphics Card,MSI,"৳ 515,000","৳ 520,500","৳ 5,500",In Stock
Graphics Card,Powercolor Hellhound Spectral AMD Radeon RX 7800 XT 16GB GDDR6 Graphics Card (White),Powercolor,"৳ 87,000","৳ 89,000","৳ 2,000",In Stock
Graphics Card,PowerColor AMD Radeon RX 7800 XT 16GB GDDR6 Graphics Card,PowerColor,"৳ 76,000","৳ 88,000","৳ 12,000",In Stock
Graphics Card,PowerColor AMD Radeon RX 7700 XT 12GB GDDR6 Graphics Card,PowerColor,"৳ 76,000","৳ 79,000","৳ 3,000",In Stock
Graphics Card,GUNNIR Intel Arc B580 Photon 12GB OC DDR6 Graphics Card (White),GUNNIR,"৳ 44,000","৳ 46,000","৳ 2,000",In Stock
Graphics Card,GUNNIR Intel Arc B580 Photon 12GB OC DDR6 Graphics Card (Black),GUNNIR,"৳ 44,000","৳ 45,000","৳ 1,000",In Stock
Graphics Card,Gunnir B580 index 12GB GDDR6 Graphics Card,Gunnir,"৳ 41,000","৳ 42,000","৳ 1,000",In Stock
Graphics Card,Ninja Radeon RX 580 Phantom 8GB GDDR5 Graphics Card,Ninja,"৳ 18,200","৳ 20,500","৳ 2,300",In Stock
